bootstrap,GO:0006493,GO:0021542,GO:0035767,GO:0035864,GO:0055010,GO:0060998,GO:0003229,GO:0007193,GO:0010594,GO:0021915,GO:0048568,GO:0045765,GO:0034765,GO:0060537,GO:0098655,GO:0001568,GO:0016477
b60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b164,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
