GeneID	GSM7796306	GSM7796307	GSM7796308	GSM7796309	GSM7796310	GSM7796311
127262	1231	840	865	1006	1042	816
49856	1653	1114	935	1042	1226	794
7161	696	448	383	741	813	557
105378610	8	8	10	10	13	4
105378609	1	0	0	0	0	0
57212	4257	2980	2820	2571	2950	2214
148870	3	2	3	3	0	2
388588	0	0	0	0	0	0
57470	3558	2678	2512	2684	3199	2281
9731	2830	2252	2246	2450	2777	2222
1677	1201	840	830	873	957	731
107984910	7	14	6	9	7	5
339448	2202	1610	1616	1688	1734	1424
100133612	15	8	5	4	10	3
728716	0	0	0	0	0	0
105376672	0	0	0	0	0	0
105376673	0	0	0	0	0	0
284661	0	0	0	0	0	0
105376674	0	0	0	0	0	0
105376679	0	0	0	0	0	0
107985376	0	0	0	0	0	0
55966	0	0	0	0	0	0
105376680	0	0	0	0	0	0
102724429	0	0	0	0	0	0
105376681	0	0	0	0	0	0
105376682	0	0	0	0	0	0
107984911	0	0	0	0	0	0
105376686	0	0	0	0	0	0
100616421	0	0	0	1	0	0
261734	1466	907	732	862	1150	581
8514	1084	729	602	502	591	414
26038	1	0	1	4	2	2
105376687	0	0	0	0	0	0
6146	36478	30930	32667	28381	30829	26810
107985733	130	119	142	132	137	119
102724450	3	3	1	2	4	1
388591	190	112	105	111	140	69
23463	12606	9971	9726	7712	8651	6916
148645	27	7	7	18	21	14
390992	0	0	0	1	0	1
387509	3029	1872	1653	2098	2544	1538
11332	4078	2874	2058	2361	2810	1827
54626	8	4	2	1	3	0
83715	32	20	10	30	34	14
100422975	0	0	0	0	0	0
8718	313	179	160	149	203	101
57449	1035	657	499	458	607	330
79707	4907	3732	3684	3896	4585	3502
80835	256	131	144	155	153	97
107984912	17	8	10	9	11	2
3104	913	491	436	530	571	329
9903	3036	2157	1838	1970	2045	1501
107984913	134	72	92	158	140	94
148479	5251	4012	3693	4270	5023	3797
90326	1138	863	653	698	827	541
55735	6503	4605	4433	4867	5651	3977
100505887	0	0	0	0	0	0
110841581	36	35	37	51	59	45
23261	4894	4001	4049	3861	4407	3715
105376692	0	0	0	0	0	0
102725193	0	2	1	0	0	0
101928836	1	1	1	0	0	0
105376691	0	0	0	0	0	0
105376689	303	176	207	170	216	145
9341	5773	4864	5378	6221	7443	6278
8863	2078	1476	1523	1105	1279	986
10911	0	0	0	0	0	0
3604	4	0	1	3	1	2
11315	22841	18595	18067	17721	20298	15654
54206	8358	6976	7628	7268	8227	7037
107984915	3	4	3	2	0	2
102724539	0	0	0	0	0	0
105376695	0	0	0	0	0	0
50651	73	51	32	28	49	25
473	10222	7050	7140	8285	9209	7188
102724552	7	3	7	7	11	5
106632271	0	0	0	0	2	0
2023	289822	224403	192222	193800	225989	156140
102465436	12	6	8	8	25	4
100505975	19	6	10	15	11	18
112268261	0	1	0	1	0	0
765	0	0	0	0	0	0
155184	1	0	0	0	0	0
6518	2	1	2	2	4	0
80045	378	328	311	226	263	181
106614088	592	431	455	516	757	533
407040	3	2	1	0	3	1
102724571	48	27	25	32	47	24
9563	6182	4470	4172	3143	3790	2528
80176	65	44	34	55	61	49
100506022	65	41	27	46	42	35
84275	3386	2580	2867	2571	2834	2549
199953	2466	1537	1266	1280	1474	853
107985734	69	45	36	40	53	38
105376712	0	0	0	0	0	0
5293	204	108	107	89	114	54
644997	0	0	0	0	0	0
101929074	0	4	1	1	3	0
22883	18251	12405	11565	11382	13412	9300
56998	5356	3910	3513	4235	4767	3460
105376717	74	49	32	29	42	29
84328	7376	5832	6458	6459	7404	6524
64802	1048	832	931	1264	1389	1108
113391335	16	7	15	8	8	4
100847055	1	0	4	2	4	1
116362	2	4	0	2	4	0
10277	10039	7117	7420	7452	8362	6791
23095	51130	37892	41637	41923	47635	38175
105376725	36	13	18	9	18	10
5226	32741	23742	21596	20927	24606	17705
100526739	802	636	629	843	899	748
378708	920	748	754	981	1050	882
1325	30	27	21	38	30	36
1676	10122	7639	7592	8479	9435	7336
5195	563	414	321	340	425	265
54897	83	47	54	112	96	65
105376733	1	0	0	0	0	0
105376735	0	0	0	0	0	0
148345	7	2	2	1	5	1
23435	37925	30142	33200	32660	38166	31591
10747	365	228	281	213	350	240
6723	4922	3454	2686	2703	2983	2006
5394	12011	9549	9587	9909	11564	9142
105376736	215	150	125	139	180	85
2475	15223	11173	11277	11607	13691	9643
100873935	247	191	183	167	220	125
10218	6	4	3	0	3	2
29914	3202	2382	2280	2138	2316	1830
105376737	1	0	1	1	0	1
105376739	15	9	7	12	15	4
105376740	1	4	0	2	1	0
57540	710	329	296	198	314	128
112268221	459	336	312	221	227	195
101929181	1	1	0	4	0	1
26232	1	0	2	3	3	0
93611	927	647	583	523	654	384
26270	117	75	49	51	66	45
10459	4409	3253	2554	2633	3240	1976
374946	12539	9516	9785	10684	11745	8762
57085	710	420	378	319	408	187
284498	147	96	56	77	100	49
102724659	0	0	0	0	0	0
4524	1337	818	751	817	958	615
1185	2644	1827	1752	1643	2066	1408
100379251	379	277	288	293	321	234
4878	44	21	20	9	10	7
4879	0	0	0	0	0	0
26829	7	10	13	1	6	3
90231	2163	1610	1321	1365	1488	1061
5351	15729	10291	8559	8397	9800	6098
9927	13505	10122	9374	10253	11641	8312
60672	375	275	181	195	219	117
102466982	0	0	0	0	0	0
943	1	2	0	1	0	0
102465836	0	0	0	0	0	0
7133	421	330	267	298	402	239
100616438	0	0	0	0	0	0
107984917	2	0	0	0	0	0
55187	10363	7623	8187	7713	9035	6963
677885	10	10	8	3	21	6
105376744	0	0	0	0	0	0
9249	6	10	2	5	1	2
102466722	0	0	0	0	0	0
343066	0	0	0	0	0	0
126767	0	0	0	0	0	0
93190	0	0	0	0	0	0
390999	0	0	0	0	0	0
65121	0	0	0	0	0	0
105376745	0	0	0	0	0	0
440560	0	0	0	0	0	0
343069	0	0	0	0	0	0
65122	0	0	0	0	1	0
400735	0	0	0	0	0	0
343071	0	0	0	0	0	0
441871	0	0	0	0	0	0
440561	0	0	0	0	0	0
101929983	0	0	0	0	0	0
649330	0	0	0	0	0	0
441873	0	0	0	0	0	0
649324	0	0	0	0	0	0
440563	6	3	6	9	5	10
645354	0	0	0	0	0	0
645359	0	0	0	0	0	0
101060301	0	0	0	0	0	0
343070	0	0	0	0	0	0
400736	0	0	0	0	0	0
391003	0	0	0	0	0	0
343068	0	0	0	0	0	0
391002	0	0	0	0	0	0
645382	0	0	0	0	0	0
653619	0	0	0	0	0	0
729528	0	0	0	0	0	0
645414	0	0	0	0	0	0
391004	0	0	0	0	0	0
645425	0	0	0	0	0	0
126755	0	0	0	0	0	0
102724856	0	0	0	0	0	0
107984918	0	0	0	0	0	0
10630	0	0	0	0	0	0
107984919	0	0	0	0	0	0
105378612	0	0	0	0	0	0
105376756	0	0	0	0	0	0
7799	3996	3036	3240	3489	4049	3120
23254	42	31	39	19	21	22
107985467	0	0	0	0	0	0
107985468	0	0	0	0	0	0
105376762	0	0	0	0	0	0
105376759	0	0	0	0	0	0
107985469	0	0	0	0	0	0
200197	67	49	61	30	27	27
55092	1141	805	718	728	786	534
727684	7	3	2	0	0	4
114827	239	179	147	137	197	134
101927417	43	24	26	31	36	21
101927441	27	15	14	22	18	11
79180	3124	2282	1894	1962	2137	1615
11330	6	1	8	6	1	3
63036	0	0	0	0	0	0
105376767	0	0	0	3	0	0
51032	9	10	13	9	4	11
842	575	416	407	371	505	312
23341	2732	2094	2265	2620	2957	2588
107397391	3	2	2	0	1	0
79814	42	31	30	35	38	36
84301	9276	6863	7694	6865	8071	6740
6248	1577	1177	1358	1260	1461	1172
23207	3228	2045	1662	1899	2096	1234
284723	55	34	34	38	55	31
110806303	5	4	3	3	5	5
388595	0	0	0	0	0	0
54751	1966	1497	1298	1340	1556	1050
440567	2656	2473	2296	2304	2585	2098
729614	426	321	335	322	415	304
23013	19264	12892	13562	14662	17177	12913
7709	1488	947	886	992	1125	786
149563	0	0	0	0	0	0
27129	6	3	2	3	1	3
1187	0	0	0	1	0	0
1188	0	0	2	0	0	0
348487	17	11	3	17	13	11
1969	5862	3831	3077	2866	3252	2172
101927479	20	15	9	10	15	8
128272	135	111	81	91	91	67
101927546	14	5	5	4	6	7
79363	153	80	68	71	72	51
54455	4693	3748	3831	3828	4247	3430
26099	10737	7702	7431	7057	7806	5735
374955	7087	5187	5024	4715	5214	3894
55707	2994	2279	2047	1997	2318	1713
107984921	317	233	231	221	269	187
114819	648	409	397	446	559	386
26871	10	5	4	8	7	6
107985757	0	0	0	0	0	0
100132147	2	3	1	1	1	1
107985758	0	0	0	1	0	0
7195	2	0	0	0	0	0
55672	4112	2756	2982	3668	4396	3297
105376794	1393	875	958	880	1097	726
84809	244	163	167	178	194	169
11209	44	17	17	17	25	17
107985736	26	16	20	10	23	12
26869	9	4	5	8	9	7
107985759	0	0	0	0	0	0
284729	0	0	1	0	0	0
100189045	0	0	0	0	0	0
6060	9	4	5	9	8	7
11223	39	20	22	36	27	21
100500876	0	0	0	0	0	0
100189298	0	0	0	0	0	0
112267871	2	1	1	1	3	2
7193	1	0	0	0	0	0
100189183	0	0	0	0	0	0
105376805	35	27	19	23	21	26
791226	0	0	0	0	0	0
26870	9	4	4	9	9	6
9696	291	153	159	136	210	99
4237	5	5	5	6	3	1
105376806	2	2	2	1	0	1
23400	1118	677	494	444	480	273
6390	5258	4646	4387	4425	5039	3903
11240	40	18	9	15	14	9
105376808	0	0	0	0	0	0
400743	8	9	4	14	23	11
29943	12	9	2	18	14	22
51702	72	54	50	74	82	44
100616188	0	0	0	0	0	0
23569	13	8	5	15	18	7
353238	0	0	0	0	0	0
55920	26274	18384	17451	17134	19977	13899
55160	728	454	390	336	467	238
107984028	0	0	0	3	0	0
81569	23	21	8	27	13	9
105376809	0	0	0	0	0	0
105376812	0	0	0	0	0	0
101927876	0	0	0	0	0	0
84966	16	11	11	3	3	4
105376814	0	0	0	0	0	0
127707	0	0	0	0	0	0
5081	0	0	0	0	0	0
80834	0	0	0	0	0	0
8659	814	533	403	359	519	286
100616120	0	0	0	0	0	0
100302276	0	1	0	0	1	0
126917	3491	2517	2497	2477	2706	2064
105376815	0	0	0	1	0	0
23352	39088	27679	28468	29638	35420	25018
101927895	480	360	365	292	386	216
23065	12279	9268	9423	8792	10383	7896
51154	8209	6265	5798	5819	6800	4982
246181	158	107	97	113	127	112
22977	83	65	52	71	97	54
100506730	1470	1033	1283	1272	1483	1239
8574	3005	2231	1975	2234	2661	1716
54896	1069	712	627	757	912	602
832	14676	10897	10448	10640	12131	8855
105376819	2	2	1	0	0	0
105376818	0	0	0	0	0	0
105376817	0	1	1	0	0	0
105378614	0	1	0	0	0	0
440574	7226	6446	6261	5775	6711	5602
100532736	2892	2363	2220	2065	2504	1749
644068	65	46	41	57	63	41
4681	546	377	298	359	386	253
3362	1	0	0	0	3	2
255104	12	10	9	7	14	13
54546	0	0	0	0	0	0
105376823	13	9	10	4	14	8
23252	3382	2562	2894	3158	3445	2993
30814	0	1	0	0	0	0
5320	0	0	0	0	0	1
5322	41	10	13	11	8	7
26279	3	1	0	0	1	2
64600	0	1	0	0	0	4
391013	2	0	2	1	2	2
127733	2	2	0	1	0	0
101928017	19	15	12	11	9	7
105376825	0	0	0	0	0	0
105376826	0	0	0	0	0	1
105376827	0	0	0	0	0	0
105376828	0	0	0	0	0	0
127731	0	2	0	0	0	0
339505	2	1	0	2	1	1
55450	8803	7185	7426	4392	4966	4390
79594	1654	1205	996	1042	1163	820
163933	32	16	22	22	9	11
978	0	0	0	0	3	1
65018	1297	953	784	855	993	642
102464833	0	0	0	0	0	0
100861548	1864	1381	1241	1370	1585	1091
1650	12860	9152	7971	8757	10093	6816
57576	7	14	2	6	10	8
400745	64	52	54	70	74	52
112268222	5387	3954	4426	4118	4804	4259
50809	28139	21034	23390	22939	26534	21649
8672	29375	22325	24805	25195	29576	23901
105376830	13	14	5	14	13	4
105376829	18	16	8	3	18	5
100302155	0	0	0	0	0	0
1889	3014	1995	1819	2110	2485	1603
100506801	0	0	1	1	0	3
105376832	0	0	0	0	0	0
84224	374	259	288	310	372	251
249	38	21	21	18	27	21
105376834	0	0	1	0	0	0
5909	861	515	467	474	532	363
84196	12757	10360	11646	10840	12972	11256
401944	175	106	77	113	118	59
3339	2152	1288	895	1025	1141	626
23436	0	0	0	0	0	0
10136	0	0	0	0	0	1
101928043	46	32	38	41	42	24
29092	1617	1268	1237	1290	1481	1170
112268223	99	88	85	99	108	86
998	25860	22555	24725	23809	26979	23669
54361	7	2	8	4	2	7
105376845	6	0	0	2	2	1
105376850	2	2	0	2	1	1
107985377	0	0	0	0	0	0
100616433	0	0	0	0	0	0
105376856	0	0	1	0	0	0
9923	6131	4390	4413	4793	5630	3976
2046	1	0	0	0	0	0
102466615	0	0	0	0	0	0
712	0	0	0	0	0	0
714	0	0	0	0	0	0
713	0	0	0	0	0	0
2048	4588	3086	2740	2300	2680	1806
100616391	0	0	0	0	0	0
100422914	70	40	39	29	32	19
646262	0	0	0	0	0	0
729059	2	5	6	2	8	1
23028	37095	30115	31204	29704	33298	27240
100422866	0	1	1	0	0	1
7798	8103	6369	6509	7319	8160	6415
3352	16	11	11	22	25	22
100996511	449	356	424	340	403	383
10236	45986	35998	39255	35751	41299	35764
80818	10354	8565	9920	11228	12992	11179
148898	887	645	675	672	846	605
6920	54	41	44	62	60	47
55616	1703	1362	1135	1182	1452	948
1870	2050	1298	1332	1668	1904	1281
101928163	28	18	12	18	32	13
105376859	17	10	8	19	25	12
3399	821	671	519	531	617	364
107984928	4	0	2	1	1	1
259283	1	0	1	5	5	1
6135	62519	51840	48420	46562	55280	41553
6924	9851	7478	7726	7675	9065	6839
100506963	1260	991	1087	1064	1217	977
57095	5780	4601	4669	4076	4743	3750
105376860	283	201	143	164	172	110
11313	1888	1287	961	1112	1239	678
2582	1773	1215	999	1063	1268	726
3155	1791	1319	1368	1428	1785	1176
105376861	2	2	1	1	1	0
2517	239	168	179	243	286	221
1269	0	0	0	0	0	0
107984929	0	0	0	0	0	0
100616492	0	0	0	0	0	0
55629	13004	10569	11624	11835	13495	11891
10772	27262	20709	24679	24292	29206	25345
105378615	0	0	0	0	0	0
105376863	0	0	0	0	0	0
107984931	0	0	0	0	0	0
127294	1	2	1	0	0	1
107985737	0	0	0	0	0	0
105376864	0	0	0	0	0	0
58985	1	2	0	4	3	6
163702	0	0	0	4	4	4
284632	0	0	0	0	0	0
105376871	1	0	2	1	7	2
57822	7	6	8	8	16	12
90529	237	206	207	217	249	170
57185	4634	3649	3834	2956	3242	2548
100750325	6	2	4	7	1	1
11123	1616	1137	1248	900	1131	897
100506985	117	86	89	64	80	64
400746	1	3	2	1	2	6
10250	17555	12109	12037	11696	15149	11007
25932	35938	29352	35244	34702	40336	37270
105376876	0	0	0	0	0	0
864	43	28	14	15	25	26
102465437	0	0	0	0	0	0
107984932	0	0	0	0	0	0
105376878	3	1	0	3	2	0
100616365	0	0	0	0	0	0
105376879	0	1	0	0	3	1
25949	2677	2069	2341	2514	2769	2439
57035	3999	2880	3325	3670	4627	3677
105376882	0	0	1	0	0	0
6007	17	19	12	16	18	10
23585	3799	3176	3387	3049	3432	2879
6006	2090	1648	1871	1621	1878	1540
55219	3396	2507	2859	2750	3304	2773
26119	886	568	535	630	696	495
57134	6214	5014	4554	4815	5413	4250
57190	17124	11950	10644	11301	12885	8673
56181	4722	3755	3775	3686	4320	3075
646471	875	608	615	583	780	451
79000	1973	1532	1665	1658	1875	1549
164091	464	350	275	282	404	269
3925	40274	33574	36081	36307	40937	35651
100500808	2676	2162	2358	2327	2829	2204
105376885	2	2	0	0	0	0
5051	2306	1612	1628	2051	2310	1880
101928216	15	11	8	12	14	6
2134	23	16	24	16	17	14
7780	3	0	0	0	0	0
105376910	0	0	0	0	0	0
84676	1	2	0	0	0	0
149420	3665	2750	3225	1746	2185	2008
105376886	5	4	7	8	5	8
79927	12	13	9	8	13	7
110806296	19	13	6	6	3	6
51042	266	190	165	172	193	117
10256	69	49	26	34	39	20
378807	0	0	0	0	0	0
101928303	0	1	0	0	0	1
64793	5666	4390	4266	4558	5068	3640
83442	3298	2578	2186	3262	3562	2356
91544	706	453	349	417	525	270
1043	0	1	0	9	6	7
55057	1	0	0	0	0	1
257101	0	0	0	0	0	0
79727	1	0	1	0	2	0
79947	2583	1957	1945	2056	2513	1702
101928324	87	49	56	61	74	47
3151	48149	36652	41305	43811	51165	41582
6195	1093	786	732	762	930	584
100302190	0	0	0	0	0	0
105376888	9	7	8	11	13	7
101928728	93	57	59	64	80	72
8289	15597	10797	10517	11191	12691	9469
55650	1123	827	919	873	952	725
84243	2904	2069	1868	1807	2168	1491
2810	3	2	0	0	4	0
54707	3969	3028	3112	3594	4051	3208
63906	646	501	414	480	516	302
10726	9159	6872	5973	7158	7990	5940
8431	1	0	1	0	0	0
126695	0	2	1	1	3	0
388610	1614	1176	1202	943	1076	765
115572	63	64	39	49	60	40
101928391	64	32	37	26	21	12
6548	1534	1001	838	1127	1280	839
102723760	0	0	0	0	0	0
105376890	0	0	2	1	1	1
23038	4787	3230	2767	3193	3773	2378
84065	1774	1124	870	858	1116	586
644961	349	236	262	237	335	217
84958	16	14	2	20	27	13
9064	1291	915	698	805	950	518
8547	6	5	11	4	8	2
388611	0	0	1	3	0	0
2827	791	651	639	666	722	616
10163	14407	10465	10420	10779	12011	9460
105376892	24	13	17	12	25	22
27245	1420	922	776	909	1009	639
2268	4	3	1	1	7	1
111216282	0	0	0	0	2	0
2537	250	201	178	244	253	173
199870	1120	901	912	1088	1162	954
23673	7092	5739	6353	6219	7226	6323
5511	8057	6514	6567	6499	7390	6151
677774	11	4	9	11	13	7
9473	52	66	38	46	43	51
6118	12056	9841	10268	10941	12479	10271
27293	4	9	11	3	8	9
55113	44	37	39	34	57	36
2140	5118	4160	4063	4672	5070	4111
5724	14	5	10	4	11	4
22826	14666	12284	12610	13384	14950	12421
93974	4230	3510	3343	3505	3982	3214
83667	2096	1461	1213	1423	1759	1096
54797	1116	850	914	1045	1116	948
65979	6250	4620	4970	5353	6107	4957
1104	10170	7379	6898	6980	7957	5652
8420	4775	3860	3926	4104	4709	3474
6080	111	59	81	88	134	79
26768	33	29	33	46	49	33
54952	2259	1801	1751	1725	2060	1497
85028	1567	1192	1339	1585	1827	1514
692212	61	40	54	59	65	51
677838	430	359	385	405	505	429
677825	49	27	24	32	53	36
692073	96	67	69	70	81	61
115273	4	3	1	7	13	6
6883	2563	2076	2063	2341	2563	2167
105378616	30	15	17	24	27	20
26824	2	1	0	2	1	1
10691	3432	2479	2641	2673	3068	2475
51441	13694	10898	11705	11588	12664	10602
4985	4055	2634	2712	5082	6383	4373
2035	8048	5973	6536	7343	8152	6766
399474	278	213	213	225	275	236
6429	10182	7859	7668	8225	9150	7380
51102	1332	1042	892	935	1167	723
10076	195	124	127	155	166	90
101928460	0	0	0	0	0	0
107984933	0	0	0	0	0	0
107984934	0	0	0	0	0	0
101929406	0	0	0	0	0	0
105378617	0	0	0	0	0	0
105378618	0	0	0	0	0	0
4146	25	14	7	21	30	15
100129196	36	38	17	33	36	32
7805	75	49	62	74	68	63
100616164	0	0	0	0	0	0
105378620	8	2	1	5	9	5
105378621	0	0	0	0	0	0
105378622	200	175	191	191	191	150
400748	2	0	1	1	0	2
9672	19302	12540	11578	10201	12202	7880
9698	17250	12623	13380	12648	14571	11561
692234	60	28	33	39	53	29
692235	58	40	43	44	65	47
692200	2	4	6	6	3	6
107984935	8	0	2	5	5	2
79570	1624	1222	1112	824	1037	632
9410	8186	6821	6990	7906	8773	7175
51538	6879	5768	6241	5706	6573	5457
2170	1114	802	834	426	514	363
105378623	0	1	0	1	0	1
107985470	0	0	0	0	1	0
347735	92	61	53	27	29	19
105378625	0	0	1	0	0	0
105379772	1	0	2	3	2	1
149086	0	0	0	0	0	0
284551	0	0	0	0	0	0
105378626	0	0	0	2	1	8
64129	0	0	0	0	0	0
3061	261	197	129	172	195	97
553115	4021	3107	2679	2896	3286	2236
107985471	140	77	79	62	101	51
105378628	5	2	2	0	4	0
1307	477	294	223	283	357	176
101929444	17	4	4	2	8	3
576	5732	3458	2714	2455	2975	1629
100423028	17	8	4	8	5	4
90853	217	161	111	154	250	117
8073	30229	25462	28018	28818	32550	28321
10657	29344	22952	24260	23603	25498	21896
55116	2087	1399	1364	1466	1674	1142
100847018	0	1	1	0	1	1
23633	14624	11305	11819	11797	12874	10478
200081	6364	4916	4678	5895	6900	4924
79140	1089	744	585	533	646	377
56063	644	407	392	439	550	333
55721	925	569	690	861	941	717
149069	113	53	66	69	89	48
8668	22783	17554	16232	17349	19529	14082
339483	28	22	12	24	42	28
84734	11	1	4	3	11	2
3932	0	0	0	0	0	0
3065	15843	12531	12399	14807	16807	12829
65108	43865	32078	31256	30101	35151	25469
105378629	24	21	17	12	17	13
81629	836	589	551	600	739	532
100128071	0	2	0	0	6	2
55108	5132	3478	3562	3884	4642	3248
728116	901	675	720	787	997	715
653121	2698	1994	2387	2184	2643	2132
102723870	8	7	9	10	11	8
339487	2282	1891	2052	2054	2249	1839
5928	33880	26864	30139	28084	32067	27587
81493	8635	6763	7848	7141	8127	7131
57648	273	165	171	274	342	189
8565	19610	16439	16085	16780	18794	14426
64766	6511	5150	5997	5920	6565	5414
252995	265	140	182	214	256	193
105378631	3	5	1	3	3	0
3208	65	33	40	45	63	26
113452	140	82	56	63	88	36
105378632	0	0	0	0	0	0
127544	1819	1478	1499	1657	1991	1511
204	24737	20367	21221	21131	24090	19327
105378635	0	1	0	3	1	0
113451	147	85	60	71	96	61
112268224	50	39	31	21	46	25
55223	1698	1141	994	1100	1313	799
149076	1581	1035	1028	909	1058	786
127550	14	9	5	10	10	3
1912	20273	14381	12281	12765	14768	9448
100500853	1021	761	690	653	806	525
101929464	19	5	7	8	9	4
7579	1602	1200	1282	1309	1520	1171
114784	0	0	0	1	1	1
105378638	0	0	0	0	0	0
127540	0	0	0	0	0	0
402779	0	0	0	0	0	0
84970	0	0	0	0	0	0
105378639	0	0	0	0	0	0
105378640	0	0	0	0	0	0
105378641	0	0	0	0	0	0
693137	0	0	0	0	0	0
105378642	1	0	3	2	0	0
2709	1	0	0	2	1	2
127534	0	1	0	1	0	0
2707	3	0	0	0	0	1
2701	0	1	1	0	0	0
113444	2573	1984	1881	1975	2193	1701
58512	455	321	330	347	400	284
653160	159	101	140	95	155	104
100506144	555	398	423	432	533	460
9204	2515	1869	2027	1958	2494	1927
79830	3105	2466	2898	2312	2903	2596
105378644	0	0	0	0	0	0
6421	69861	51742	58974	58892	69257	56610
9202	21333	17024	18991	19426	22905	19765
100861513	529	398	468	448	586	492
79932	12480	9212	9550	10052	11665	8805
23154	2752	1849	1583	1714	1979	1194
339488	207	152	160	138	211	154
105378645	26	15	13	11	29	11
